httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,protoPayload.methodName,protoPayload.resourceName,protoPayload.response.@type,protoPayload.response.apiVersion,protoPayload.response.kind,"protoPayload.response.metadata.annotations.""autoscaling.knative.dev/maxScale""","protoPayload.response.metadata.annotations.""run.googleapis.com/client-name""","protoPayload.response.metadata.annotations.""run.googleapis.com/execution-environment""","protoPayload.response.metadata.annotations.""run.googleapis.com/operation-id""","protoPayload.response.metadata.annotations.""run.googleapis.com/startup-cpu-boost""","protoPayload.response.metadata.annotations.""serving.knative.dev/creator""",protoPayload.response.metadata.creationTimestamp,protoPayload.response.metadata.generation,"protoPayload.response.metadata.labels.""client.knative.dev/nonce""","protoPayload.response.metadata.labels.""cloud.googleapis.com/location""","protoPayload.response.metadata.labels.""run.googleapis.com/startupProbeType""","protoPayload.response.metadata.labels.""serving.knative.dev/configuration""","protoPayload.response.metadata.labels.""serving.knative.dev/configurationGeneration""","protoPayload.response.metadata.labels.""serving.knative.dev/route""","protoPayload.response.metadata.labels.""serving.knative.dev/service""","protoPayload.response.metadata.labels.""serving.knative.dev/serviceUid""",protoPayload.response.metadata.name,protoPayload.response.metadata.namespace,protoPayload.response.metadata.ownerReferences,protoPayload.response.metadata.resourceVersion,protoPayload.response.metadata.selfLink,protoPayload.response.metadata.uid,protoPayload.response.spec.containerConcurrency,protoPayload.response.spec.containers,protoPayload.response.spec.serviceAccountName,protoPayload.response.spec.timeoutSeconds,protoPayload.response.status.conditions,protoPayload.response.status.containerStatuses,protoPayload.response.status.imageDigest,protoPayload.response.status.logUrl,protoPayload.response.status.observedGeneration,protoPayload.serviceName,protoPayload.status.message,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,674579f40004109eab8ef163,004940b3b8fc21d1181c8f3b983b3620636088cd4526874838bf1f11b9bd0eeb52c0bf0222c02b87f593c454b923f767090212ba4544360d1d1418a067b70dd6c084c1fe432d38e67fb8714b841e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T07:34:12.270277205Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T07:34:12.266398Z,,
0.111359842s,HTTP/1.1,40.75.97.192,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,674579f40005c0431280baf4,004940b3b8fc21d1181c8f3b983b3620636088cd4526874838bf1f11b9bd0eeb52c0bf0222c02b87f593c454b923f767090212ba4544360d1d1418a067b70dd6c084c1fe432d38e67fb8714b841e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T07:34:12.379361987Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,8ee75aa0c32ce4d0,,2024-11-26T07:34:12.114601Z,projects/charismatic-tea-434516-a5/traces/06406b97bd28b492d00a62aee3a8cc58,true
,,,,,,,,,,67456f94000a63082bd98923,004940b3b8ee78a83fc0d82ae14faa7d5a70777dca6ee099cc0481ff89df2084dd2d8e0ca9525d531f91508d117f6bbfb391aace5624ce3dee6c87e6630ff0d500c12a96e1432bbe570399325ac3,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T06:49:56.683418489Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T06:49:56.680712Z,,
0.113693434s,HTTP/1.1,172.177.245.198,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,67456f94000c059b8e10bf7d,004940b3b8ee78a83fc0d82ae14faa7d5a70777dca6ee099cc0481ff89df2084dd2d8e0ca9525d531f91508d117f6bbfb391aace5624ce3dee6c87e6630ff0d500c12a96e1432bbe570399325ac3,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T06:49:56.793073106Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,e9606e695c3f248c,,2024-11-26T06:49:56.498118Z,projects/charismatic-tea-434516-a5/traces/5bac53ba84c7b85a7b89a869eecf7509,true
,,,,,,,,,,67455f1e00027c6fe1baec6c,004940b3b86e42603144f45ab23bba1d30f9d3d8545723432eb26f1148303fc89a8c65f0fbcb4ef8965e8a4c94629069ce80e7545c6d10831069fe7d9df8eaabb6d52f54bacbf3fb46ddbf0c3620,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T05:39:42.166041357Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T05:39:42.162927Z,,
0.113225907s,HTTP/1.1,172.214.46.202,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,67455f1e00043c5ca1b93338,004940b3b86e42603144f45ab23bba1d30f9d3d8545723432eb26f1148303fc89a8c65f0fbcb4ef8965e8a4c94629069ce80e7545c6d10831069fe7d9df8eaabb6d52f54bacbf3fb46ddbf0c3620,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T05:39:42.282226108Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,6e761ce230436c21,,2024-11-26T05:39:42.004111Z,projects/charismatic-tea-434516-a5/traces/414b2d353d58557eaad8a44905507b94,true
,,,,,,,,,,674551df000dbd9d17a510b4,004940b3b85c99b4a36a9d3e4ac3a412e794fa03023055c55e3d4c59f7abeed39c7a707dfba75d3d53a16a671b281fa4d663d076029ac51b524a61d49bf44d52175ef958494ea6efc00dd8ccc73b,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T04:43:11.902790776Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T04:43:11.900509Z,,
0.112527003s,HTTP/1.1,52.159.138.241,GET,265,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,674551e00000317f2943c378,004940b3b85c99b4a36a9d3e4ac3a412e794fa03023055c55e3d4c59f7abeed39c7a707dfba75d3d53a16a671b281fa4d663d076029ac51b524a61d49bf44d52175ef958494ea6efc00dd8ccc73b,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T04:43:12.016204421Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,3066e0724c0ff0b0,,2024-11-26T04:43:11.726295Z,projects/charismatic-tea-434516-a5/traces/b70303ed9fd8e6f1ffd74cd67ec6e203,true
,,,,,,,,,,674546f6000239e1fc56fec2,004940b3b8383c1d5a2e3125ac42cc5f293652e0c865cd51b082993b29e20a869fe132a6fb22440ece6bbb7ca86be000c28a7eb5a3e7e5d49c1be22b287efb0693e49f70dfe36b99a955674bbc91,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T03:56:38.148189889Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T03:56:38.145889Z,,
0.110564064s,HTTP/1.1,13.64.133.134,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.32.53,200,curl/7.81.0,674546f60003dfab5ba14ee8,004940b3b8383c1d5a2e3125ac42cc5f293652e0c865cd51b082993b29e20a869fe132a6fb22440ece6bbb7ca86be000c28a7eb5a3e7e5d49c1be22b287efb0693e49f70dfe36b99a955674bbc91,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T03:56:38.257225745Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,9d84935045edebef,,2024-11-26T03:56:38.008094Z,projects/charismatic-tea-434516-a5/traces/e862a33a56917a8efc64bbafe0fe1331,true
,,,,,,,,,,67453b880006322c63ba782d,004940b3b897b4797838da987d429fbc117396941cdbb08d985b872cb0f7c8a1eba9b1eaeb006491805bd25c548cefdb4353cda7269db68de3aafe74291ef512ee0458c772d6d28291ec25f9288a,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T03:07:52.410615936Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-26T03:07:52.406060Z,,
0.109614673s,HTTP/1.1,20.57.44.109,GET,265,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,67453b880007db21cecce1bd,004940b3b897b4797838da987d429fbc117396941cdbb08d985b872cb0f7c8a1eba9b1eaeb006491805bd25c548cefdb4353cda7269db68de3aafe74291ef512ee0458c772d6d28291ec25f9288a,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-26T03:07:52.517776702Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,9b3925e6697c3ea6,,2024-11-26T03:07:52.243859Z,projects/charismatic-tea-434516-a5/traces/58be90b30c6540d1416f407656c9e4bd,true
,,,,,,,,,,6745090c000d450ff2f479a9,004940b3b87c53c62a82b29d8d701982489e92441104e9c3dc9d99d0d901560d1905ffd7d1d02627d15bde498619df67c7396febfa3e75759e7394717475c2e6ab55bf8dfbf1535915f2d98afa4c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-25T23:32:28.874461915Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-25T23:32:28.869647Z,,
0.110369605s,HTTP/1.1,172.183.191.17,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.34.53,200,curl/7.81.0,6745090c000eee3131280dc1,004940b3b87c53c62a82b29d8d701982489e92441104e9c3dc9d99d0d901560d1905ffd7d1d02627d15bde498619df67c7396febfa3e75759e7394717475c2e6ab55bf8dfbf1535915f2d98afa4c,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-25T23:32:28.982904941Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,2c28769aaaf22144,,2024-11-25T23:32:28.743374Z,projects/charismatic-tea-434516-a5/traces/7cb4d8a4591cadf21b81242b21af340d,true
,,,,,,,,,,6744fc5300059e28fdd00197,004940b3b8453159fcc9a8be8fef5e27331995f217535a93737f1876274f02dd08a745dc2b6c64d3c06ca1fe985e67bccd79d416b8d20868cb20ec24df3540617c92babe5d8094ffe47755a2a12e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-25T22:38:11.370946686Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-25T22:38:11.368168Z,,
0.110136521s,HTTP/1.1,20.42.12.49,GET,264,https://factorial-cpp-815005680514.europe-north1.run.app/,98,216.239.32.53,200,curl/7.81.0,6744fc530007271eeb0a39c8,004940b3b8453159fcc9a8be8fef5e27331995f217535a93737f1876274f02dd08a745dc2b6c64d3c06ca1fe985e67bccd79d416b8d20868cb20ec24df3540617c92babe5d8094ffe47755a2a12e,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-25T22:38:11.471977868Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,b20ee0c733fabb01,,2024-11-25T22:38:11.209908Z,projects/charismatic-tea-434516-a5/traces/858e01a75e95600bb0811c9e93e470e9,true
,,,,,,,,,,6744efc80000111ac68468fa,004940b3b8fad693b2e8a385d22933c10e9128a2c6fbc2f8cef66d366e4dc427765ddee467256c47fa4e30275bc795d4a87ce291dc74c19e7de1b79f2e75af8721d2966e6ce16dd975d8d8095dc5,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Fvarlog%2Fsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-25T21:44:40.008481263Z,factorial-cpp,europe-north1,charismatic-tea-434516-a5,factorial-cpp-00005-c74,factorial-cpp,cloud_run_revision,INFO,,"Default STARTUP TCP probe succeeded after 1 attempt for container ""factorial-cpp-1"" on port 8080.",2024-11-25T21:44:40.004378Z,,
